Filename,Field ID,ISOM 2000,ISOM 2017,Description,Notes,Feature Type,,Field ID
aboriginal_land_2,FALSE,,,Shows native reserves,,0 = point feature,,FALSE – Don’t use this file
aerial_cableway_1,NAME,516,510,A transportation device for freight or passengers consisting of a carrier and a cable supported by towers.,,1 = line feature,,NAME – Use the filename as the layer name
aerodrome_0,FALSE,,,,,2 = area feature,,{attribute name} – use the contents of attribute name as the layer name
aggregate_2,NAME,403,403,"Excavation created by the removal of stone (by blasting or cutting), gravel, sand, or clay",Mapped to rough open ground,,,
atlas_named_feature_0,FALSE,,,,,,,
atlas_named_feature_2,FALSE,,,,,,,
bathymetry_2,FALSE,,,,,,,
bdg_named_feature_0,FALSE,,,,,,,
bdg_named_feature_1,FALSE,,,,,,,
bdg_named_feature_2,FALSE,,,,,,,
blocked_passage_0,FALSE,,,Indication of a physical barrier or obstacle on a road element built to prevent or control further access.,,,,
building_0,NAME,526.1,,Permanent walled and roofed construction.,TODO: ISOM2017 symbol set doesn’t have a minimum size,,,
building_2,NAME,526,521,Permanent walled and roofed construction.,,,,
chimney_0,NAME,535,524,An upright flue through which combustion gases and smoke are discharged high into the air.,,,,
commercial_institution_area_0,FALSE,,,"Area landscaped for commercial, institutional, or light industrial activities",,,,
commercial_institution_area_2,NAME,709,709,"Area landscaped for commercial, institutional, or light industrial activities",Mapped to out-of-bounds (purple),,,
communication_line_1,liloc,,,One or more cables used for communication purposes,,,,
conduit_bridge_1,NAME,534,529,A structure used to support a conduit across an obstacle.,,,,
contour_1,NAME,101,101,Gives contours,,,,
cut_line_1,FALSE,,,"A line cut through a forest area to facilitate cadastral or seismic surveys, or to create firebreaks.",,,,
dam_0,NAME,539,530,Manmade structure built across a body of water to control the water flow.,Mapped to special manmade feature,,,
dam_1,NAME,534,529,Manmade structure built across a body of water to control the water flow.,Mapped to prominent impassable manmade line feature (pipeline),,,
dam_2,NAME,526,521,Manmade structure built across a body of water to control the water flow.,Mapped to building,,,
delimiting_structure_1,dlst_dsc,,,Generally vertical structure built to enclose or separate an area.,,,,
elevation_point_0,FALSE,,,Gives point elevation data,,,,
